Id: a1, Group: adulti, Belt: marrone, Peso: 72
Id: a2, Group: adulti, Belt: gialla, Peso: 79
Id: a3, Group: adulti, Belt: nera, Peso: 90
Id: a4, Group: adulti, Belt: marrone, Peso: 67
Id: a5, Group: adulti, Belt: bianca, Peso: 53
Id: a6, Group: adulti, Belt: gialla, Peso: 67
Id: a7, Group: adulti, Belt: blu, Peso: 78
Id: a8, Group: adulti, Belt: nera, Peso: 84
Id: a9, Group: adulti, Belt: verde, Peso: 51
Id: a10, Group: adulti, Belt: arancione, Peso: 78
Id: a11, Group: adulti, Belt: arancione, Peso: 63
Id: a12, Group: adulti, Belt: blu, Peso: 65
Id: a13, Group: adulti, Belt: gialla, Peso: 62
Id: a14, Group: adulti, Belt: marrone, Peso: 71
Id: a15, Group: adulti, Belt: arancione, Peso: 86
Id: a16, Group: adulti, Belt: nera, Peso: 99
Id: a17, Group: adulti, Belt: verde, Peso: 83
Id: a18, Group: adulti, Belt: arancione, Peso: 65
Id: a19, Group: adulti, Belt: arancione, Peso: 73
Id: a20, Group: adulti, Belt: arancione, Peso: 85
Id: a21, Group: adulti, Belt: verde, Peso: 59
Id: a22, Group: adulti, Belt: bianca, Peso: 88
Id: a23, Group: adulti, Belt: gialla, Peso: 57
Id: a24, Group: adulti, Belt: gialla, Peso: 76
Id: a25, Group: adulti, Belt: arancione, Peso: 90
Id: a26, Group: adulti, Belt: blu, Peso: 89
Id: r1, Group: ragazzi, Belt: marrone, Peso: 53
Id: r2, Group: ragazzi, Belt: arancione, Peso: 46
Id: r3, Group: ragazzi, Belt: arancione, Peso: 70
Id: r4, Group: ragazzi, Belt: verde, Peso: 55
Id: r5, Group: ragazzi, Belt: marrone, Peso: 41
Id: r6, Group: ragazzi, Belt: verde, Peso: 55
Id: r7, Group: ragazzi, Belt: bianca, Peso: 70
Id: r8, Group: ragazzi, Belt: blu, Peso: 56
Id: r9, Group: ragazzi, Belt: arancione, Peso: 60
Id: r10, Group: ragazzi, Belt: verde, Peso: 62
Id: r11, Group: ragazzi, Belt: blu, Peso: 43
Id: r12, Group: ragazzi, Belt: marrone, Peso: 56
Id: r13, Group: ragazzi, Belt: blu, Peso: 66
Id: r14, Group: ragazzi, Belt: bianca, Peso: 48
Id: r15, Group: ragazzi, Belt: blu, Peso: 57
Id: r16, Group: ragazzi, Belt: verde, Peso: 60
Id: r17, Group: ragazzi, Belt: marrone, Peso: 45
Id: r18, Group: ragazzi, Belt: gialla, Peso: 58
Id: r19, Group: ragazzi, Belt: gialla, Peso: 65
Id: r20, Group: ragazzi, Belt: bianca, Peso: 64
Id: r21, Group: ragazzi, Belt: bianca, Peso: 42
Id: r22, Group: ragazzi, Belt: verde, Peso: 49
Id: r23, Group: ragazzi, Belt: marrone, Peso: 52
Id: r24, Group: ragazzi, Belt: arancione, Peso: 44
Id: r25, Group: ragazzi, Belt: blu, Peso: 63
Id: r26, Group: ragazzi, Belt: gialla, Peso: 59
Id: r27, Group: ragazzi, Belt: nera, Peso: 70
Id: r28, Group: ragazzi, Belt: arancione, Peso: 50
Id: r29, Group: ragazzi, Belt: bianca, Peso: 69
Id: r30, Group: ragazzi, Belt: arancione, Peso: 47
Id: r31, Group: ragazzi, Belt: marrone, Peso: 50
Id: r32, Group: ragazzi, Belt: gialla, Peso: 70
Id: r33, Group: ragazzi, Belt: verde, Peso: 50
Id: r34, Group: ragazzi, Belt: blu, Peso: 66
Id: b1, Group: bambini, Belt: gialla, Peso: 13
Id: b2, Group: bambini, Belt: verde, Peso: 38
Id: b3, Group: bambini, Belt: blu, Peso: 38
Id: b4, Group: bambini, Belt: marrone, Peso: 34
Id: b5, Group: bambini, Belt: blu, Peso: 22
Id: b6, Group: bambini, Belt: gialla, Peso: 35
Id: b7, Group: bambini, Belt: gialla, Peso: 40
Id: b8, Group: bambini, Belt: verde, Peso: 22
Id: b9, Group: bambini, Belt: bianca, Peso: 32
Id: b10, Group: bambini, Belt: arancione, Peso: 14
Id: b11, Group: bambini, Belt: arancione, Peso: 10
Id: b12, Group: bambini, Belt: bianca, Peso: 15
Id: b13, Group: bambini, Belt: marrone, Peso: 30
Id: b14, Group: bambini, Belt: blu, Peso: 29
Id: b15, Group: bambini, Belt: marrone, Peso: 33
Id: b16, Group: bambini, Belt: gialla, Peso: 19
Id: b17, Group: bambini, Belt: bianca, Peso: 20
Id: b18, Group: bambini, Belt: arancione, Peso: 13
