Id: a1, Group: adulti, Belt: arancione, Peso: 81
Id: a2, Group: adulti, Belt: nera, Peso: 99
Id: a3, Group: adulti, Belt: arancione, Peso: 50
Id: a4, Group: adulti, Belt: nera, Peso: 79
Id: a5, Group: adulti, Belt: blu, Peso: 63
Id: a6, Group: adulti, Belt: arancione, Peso: 59
Id: a7, Group: adulti, Belt: arancione, Peso: 83
Id: a8, Group: adulti, Belt: gialla, Peso: 91
Id: a9, Group: adulti, Belt: marrone, Peso: 74
Id: a10, Group: adulti, Belt: nera, Peso: 84
Id: a11, Group: adulti, Belt: marrone, Peso: 83
Id: a12, Group: adulti, Belt: bianca, Peso: 73
Id: a13, Group: adulti, Belt: marrone, Peso: 82
Id: a14, Group: adulti, Belt: blu, Peso: 64
Id: a15, Group: adulti, Belt: nera, Peso: 56
Id: a16, Group: adulti, Belt: bianca, Peso: 99
Id: a17, Group: adulti, Belt: arancione, Peso: 52
Id: a18, Group: adulti, Belt: gialla, Peso: 99
Id: a19, Group: adulti, Belt: blu, Peso: 85
Id: a20, Group: adulti, Belt: nera, Peso: 62
Id: a21, Group: adulti, Belt: verde, Peso: 97
Id: a22, Group: adulti, Belt: bianca, Peso: 96
Id: a23, Group: adulti, Belt: blu, Peso: 67
Id: a24, Group: adulti, Belt: blu, Peso: 53
Id: a25, Group: adulti, Belt: bianca, Peso: 81
Id: a26, Group: adulti, Belt: verde, Peso: 55
Id: r1, Group: ragazzi, Belt: arancione, Peso: 42
Id: r2, Group: ragazzi, Belt: arancione, Peso: 56
Id: r3, Group: ragazzi, Belt: blu, Peso: 67
Id: r4, Group: ragazzi, Belt: verde, Peso: 60
Id: r5, Group: ragazzi, Belt: blu, Peso: 47
Id: r6, Group: ragazzi, Belt: verde, Peso: 68
Id: r7, Group: ragazzi, Belt: nera, Peso: 44
Id: r8, Group: ragazzi, Belt: bianca, Peso: 62
Id: r9, Group: ragazzi, Belt: bianca, Peso: 42
Id: r10, Group: ragazzi, Belt: nera, Peso: 54
Id: r11, Group: ragazzi, Belt: bianca, Peso: 65
Id: r12, Group: ragazzi, Belt: gialla, Peso: 55
Id: r13, Group: ragazzi, Belt: verde, Peso: 44
Id: r14, Group: ragazzi, Belt: bianca, Peso: 50
Id: r15, Group: ragazzi, Belt: nera, Peso: 53
Id: r16, Group: ragazzi, Belt: verde, Peso: 62
Id: r17, Group: ragazzi, Belt: verde, Peso: 48
Id: r18, Group: ragazzi, Belt: verde, Peso: 50
Id: r19, Group: ragazzi, Belt: gialla, Peso: 69
Id: r20, Group: ragazzi, Belt: verde, Peso: 57
Id: r21, Group: ragazzi, Belt: blu, Peso: 40
Id: r22, Group: ragazzi, Belt: blu, Peso: 70
Id: r23, Group: ragazzi, Belt: verde, Peso: 46
Id: r24, Group: ragazzi, Belt: bianca, Peso: 65
Id: r25, Group: ragazzi, Belt: verde, Peso: 61
Id: r26, Group: ragazzi, Belt: nera, Peso: 64
Id: r27, Group: ragazzi, Belt: arancione, Peso: 59
Id: r28, Group: ragazzi, Belt: nera, Peso: 60
Id: r29, Group: ragazzi, Belt: marrone, Peso: 46
Id: r30, Group: ragazzi, Belt: arancione, Peso: 57
Id: r31, Group: ragazzi, Belt: arancione, Peso: 44
Id: r32, Group: ragazzi, Belt: blu, Peso: 58
Id: r33, Group: ragazzi, Belt: blu, Peso: 51
Id: r34, Group: ragazzi, Belt: blu, Peso: 41
Id: b1, Group: bambini, Belt: marrone, Peso: 31
Id: b2, Group: bambini, Belt: nera, Peso: 21
Id: b3, Group: bambini, Belt: bianca, Peso: 32
Id: b4, Group: bambini, Belt: gialla, Peso: 28
Id: b5, Group: bambini, Belt: gialla, Peso: 27
Id: b6, Group: bambini, Belt: marrone, Peso: 40
Id: b7, Group: bambini, Belt: blu, Peso: 25
Id: b8, Group: bambini, Belt: bianca, Peso: 38
