Id: a1, Group: adulti, Belt: verde, Peso: 83
Id: a2, Group: adulti, Belt: gialla, Peso: 98
Id: a3, Group: adulti, Belt: marrone, Peso: 93
Id: a4, Group: adulti, Belt: blu, Peso: 75
Id: a5, Group: adulti, Belt: verde, Peso: 75
Id: a6, Group: adulti, Belt: marrone, Peso: 83
Id: a7, Group: adulti, Belt: verde, Peso: 63
Id: a8, Group: adulti, Belt: blu, Peso: 73
Id: a9, Group: adulti, Belt: gialla, Peso: 50
Id: a10, Group: adulti, Belt: arancione, Peso: 95
Id: a11, Group: adulti, Belt: blu, Peso: 68
Id: a12, Group: adulti, Belt: blu, Peso: 83
Id: a13, Group: adulti, Belt: gialla, Peso: 85
Id: a14, Group: adulti, Belt: verde, Peso: 87
Id: a15, Group: adulti, Belt: blu, Peso: 75
Id: a16, Group: adulti, Belt: bianca, Peso: 83
Id: a17, Group: adulti, Belt: verde, Peso: 51
Id: a18, Group: adulti, Belt: bianca, Peso: 58
Id: a19, Group: adulti, Belt: bianca, Peso: 67
Id: a20, Group: adulti, Belt: marrone, Peso: 59
Id: a21, Group: adulti, Belt: gialla, Peso: 87
Id: a22, Group: adulti, Belt: blu, Peso: 98
Id: a23, Group: adulti, Belt: marrone, Peso: 81
Id: a24, Group: adulti, Belt: bianca, Peso: 53
Id: a25, Group: adulti, Belt: verde, Peso: 91
Id: a26, Group: adulti, Belt: arancione, Peso: 75
Id: r1, Group: ragazzi, Belt: verde, Peso: 45
Id: r2, Group: ragazzi, Belt: verde, Peso: 41
Id: r3, Group: ragazzi, Belt: nera, Peso: 46
Id: r4, Group: ragazzi, Belt: bianca, Peso: 40
Id: r5, Group: ragazzi, Belt: gialla, Peso: 48
Id: r6, Group: ragazzi, Belt: bianca, Peso: 44
Id: r7, Group: ragazzi, Belt: marrone, Peso: 44
Id: r8, Group: ragazzi, Belt: bianca, Peso: 54
Id: r9, Group: ragazzi, Belt: bianca, Peso: 43
Id: r10, Group: ragazzi, Belt: gialla, Peso: 66
Id: r11, Group: ragazzi, Belt: arancione, Peso: 46
Id: r12, Group: ragazzi, Belt: marrone, Peso: 40
Id: r13, Group: ragazzi, Belt: blu, Peso: 48
Id: r14, Group: ragazzi, Belt: marrone, Peso: 68
Id: r15, Group: ragazzi, Belt: nera, Peso: 50
Id: r16, Group: ragazzi, Belt: marrone, Peso: 44
Id: r17, Group: ragazzi, Belt: bianca, Peso: 58
Id: r18, Group: ragazzi, Belt: arancione, Peso: 62
Id: r19, Group: ragazzi, Belt: bianca, Peso: 52
Id: r20, Group: ragazzi, Belt: gialla, Peso: 58
Id: r21, Group: ragazzi, Belt: blu, Peso: 53
Id: r22, Group: ragazzi, Belt: nera, Peso: 63
Id: r23, Group: ragazzi, Belt: arancione, Peso: 65
Id: r24, Group: ragazzi, Belt: verde, Peso: 46
Id: r25, Group: ragazzi, Belt: blu, Peso: 53
Id: r26, Group: ragazzi, Belt: nera, Peso: 48
Id: r27, Group: ragazzi, Belt: bianca, Peso: 51
Id: r28, Group: ragazzi, Belt: blu, Peso: 68
Id: r29, Group: ragazzi, Belt: blu, Peso: 41
Id: r30, Group: ragazzi, Belt: gialla, Peso: 63
Id: r31, Group: ragazzi, Belt: verde, Peso: 45
Id: r32, Group: ragazzi, Belt: arancione, Peso: 51
Id: r33, Group: ragazzi, Belt: blu, Peso: 60
Id: r34, Group: ragazzi, Belt: bianca, Peso: 69
Id: b1, Group: bambini, Belt: bianca, Peso: 26
Id: b2, Group: bambini, Belt: blu, Peso: 28
Id: b3, Group: bambini, Belt: bianca, Peso: 32
Id: b4, Group: bambini, Belt: blu, Peso: 10
Id: b5, Group: bambini, Belt: nera, Peso: 12
Id: b6, Group: bambini, Belt: gialla, Peso: 10
Id: b7, Group: bambini, Belt: arancione, Peso: 18
Id: b8, Group: bambini, Belt: nera, Peso: 28
Id: b9, Group: bambini, Belt: arancione, Peso: 21
Id: b10, Group: bambini, Belt: verde, Peso: 27
Id: b11, Group: bambini, Belt: verde, Peso: 35
Id: b12, Group: bambini, Belt: bianca, Peso: 22
Id: b13, Group: bambini, Belt: nera, Peso: 26
Id: b14, Group: bambini, Belt: blu, Peso: 30
Id: b15, Group: bambini, Belt: bianca, Peso: 39
Id: b16, Group: bambini, Belt: bianca, Peso: 19
Id: b17, Group: bambini, Belt: blu, Peso: 19
Id: b18, Group: bambini, Belt: verde, Peso: 22
Id: b19, Group: bambini, Belt: nera, Peso: 21
Id: b20, Group: bambini, Belt: gialla, Peso: 35
Id: b21, Group: bambini, Belt: verde, Peso: 38
Id: b22, Group: bambini, Belt: marrone, Peso: 14
Id: b23, Group: bambini, Belt: marrone, Peso: 28
Id: b24, Group: bambini, Belt: nera, Peso: 22
Id: b25, Group: bambini, Belt: verde, Peso: 33
Id: b26, Group: bambini, Belt: verde, Peso: 38
Id: b27, Group: bambini, Belt: arancione, Peso: 21
Id: b28, Group: bambini, Belt: verde, Peso: 12
Id: b29, Group: bambini, Belt: bianca, Peso: 17
Id: b30, Group: bambini, Belt: gialla, Peso: 36
Id: b31, Group: bambini, Belt: arancione, Peso: 23
Id: b32, Group: bambini, Belt: gialla, Peso: 31
Id: b33, Group: bambini, Belt: nera, Peso: 14
Id: b34, Group: bambini, Belt: arancione, Peso: 18
Id: b35, Group: bambini, Belt: marrone, Peso: 30
Id: b36, Group: bambini, Belt: nera, Peso: 20
Id: b37, Group: bambini, Belt: verde, Peso: 35
Id: b38, Group: bambini, Belt: gialla, Peso: 40
Id: b39, Group: bambini, Belt: verde, Peso: 31
Id: b40, Group: bambini, Belt: marrone, Peso: 37
