Id: a1, Group: adulti, Belt: nera, Peso: 73
Id: a2, Group: adulti, Belt: marrone, Peso: 62
Id: a3, Group: adulti, Belt: marrone, Peso: 54
Id: a4, Group: adulti, Belt: nera, Peso: 68
Id: a5, Group: adulti, Belt: nera, Peso: 70
Id: a6, Group: adulti, Belt: nera, Peso: 56
Id: a7, Group: adulti, Belt: blu, Peso: 65
Id: a8, Group: adulti, Belt: marrone, Peso: 83
Id: a9, Group: adulti, Belt: gialla, Peso: 79
Id: a10, Group: adulti, Belt: bianca, Peso: 71
Id: a11, Group: adulti, Belt: verde, Peso: 90
Id: a12, Group: adulti, Belt: blu, Peso: 89
Id: a13, Group: adulti, Belt: blu, Peso: 79
Id: a14, Group: adulti, Belt: blu, Peso: 61
Id: a15, Group: adulti, Belt: verde, Peso: 97
Id: a16, Group: adulti, Belt: nera, Peso: 74
Id: a17, Group: adulti, Belt: gialla, Peso: 69
Id: a18, Group: adulti, Belt: bianca, Peso: 60
Id: a19, Group: adulti, Belt: arancione, Peso: 98
Id: a20, Group: adulti, Belt: gialla, Peso: 65
Id: a21, Group: adulti, Belt: bianca, Peso: 78
Id: a22, Group: adulti, Belt: gialla, Peso: 54
Id: a23, Group: adulti, Belt: verde, Peso: 88
Id: a24, Group: adulti, Belt: gialla, Peso: 62
Id: a25, Group: adulti, Belt: marrone, Peso: 81
Id: a26, Group: adulti, Belt: marrone, Peso: 100
Id: r1, Group: ragazzi, Belt: verde, Peso: 47
Id: r2, Group: ragazzi, Belt: marrone, Peso: 69
Id: r3, Group: ragazzi, Belt: nera, Peso: 42
Id: r4, Group: ragazzi, Belt: nera, Peso: 51
Id: r5, Group: ragazzi, Belt: arancione, Peso: 66
Id: r6, Group: ragazzi, Belt: nera, Peso: 59
Id: r7, Group: ragazzi, Belt: arancione, Peso: 44
Id: r8, Group: ragazzi, Belt: bianca, Peso: 69
Id: r9, Group: ragazzi, Belt: marrone, Peso: 49
Id: r10, Group: ragazzi, Belt: gialla, Peso: 42
Id: r11, Group: ragazzi, Belt: marrone, Peso: 52
Id: r12, Group: ragazzi, Belt: marrone, Peso: 51
Id: r13, Group: ragazzi, Belt: nera, Peso: 49
Id: r14, Group: ragazzi, Belt: bianca, Peso: 61
Id: r15, Group: ragazzi, Belt: nera, Peso: 58
Id: r16, Group: ragazzi, Belt: verde, Peso: 49
Id: r17, Group: ragazzi, Belt: bianca, Peso: 61
Id: r18, Group: ragazzi, Belt: marrone, Peso: 40
Id: r19, Group: ragazzi, Belt: verde, Peso: 70
Id: r20, Group: ragazzi, Belt: arancione, Peso: 40
Id: r21, Group: ragazzi, Belt: verde, Peso: 68
Id: r22, Group: ragazzi, Belt: nera, Peso: 55
Id: r23, Group: ragazzi, Belt: arancione, Peso: 45
Id: r24, Group: ragazzi, Belt: blu, Peso: 55
Id: r25, Group: ragazzi, Belt: verde, Peso: 51
Id: r26, Group: ragazzi, Belt: blu, Peso: 66
Id: r27, Group: ragazzi, Belt: blu, Peso: 41
Id: r28, Group: ragazzi, Belt: verde, Peso: 46
Id: r29, Group: ragazzi, Belt: arancione, Peso: 46
Id: r30, Group: ragazzi, Belt: nera, Peso: 59
Id: r31, Group: ragazzi, Belt: bianca, Peso: 69
Id: r32, Group: ragazzi, Belt: nera, Peso: 63
Id: r33, Group: ragazzi, Belt: blu, Peso: 64
Id: r34, Group: ragazzi, Belt: arancione, Peso: 63
Id: b1, Group: bambini, Belt: marrone, Peso: 28
Id: b2, Group: bambini, Belt: verde, Peso: 34
Id: b3, Group: bambini, Belt: arancione, Peso: 39
