Id: a1, Group: adulti, Belt: verde, Peso: 86
Id: a2, Group: adulti, Belt: blu, Peso: 79
Id: a3, Group: adulti, Belt: blu, Peso: 73
Id: a4, Group: adulti, Belt: blu, Peso: 74
Id: a5, Group: adulti, Belt: gialla, Peso: 92
Id: a6, Group: adulti, Belt: arancione, Peso: 52
Id: a7, Group: adulti, Belt: arancione, Peso: 81
Id: a8, Group: adulti, Belt: blu, Peso: 90
Id: a9, Group: adulti, Belt: nera, Peso: 94
Id: a10, Group: adulti, Belt: gialla, Peso: 88
Id: a11, Group: adulti, Belt: verde, Peso: 53
Id: a12, Group: adulti, Belt: verde, Peso: 88
Id: a13, Group: adulti, Belt: gialla, Peso: 66
Id: a14, Group: adulti, Belt: marrone, Peso: 90
Id: a15, Group: adulti, Belt: gialla, Peso: 63
Id: a16, Group: adulti, Belt: nera, Peso: 69
Id: a17, Group: adulti, Belt: blu, Peso: 65
Id: a18, Group: adulti, Belt: gialla, Peso: 65
Id: a19, Group: adulti, Belt: verde, Peso: 69
Id: a20, Group: adulti, Belt: marrone, Peso: 72
Id: a21, Group: adulti, Belt: blu, Peso: 91
Id: a22, Group: adulti, Belt: bianca, Peso: 71
Id: a23, Group: adulti, Belt: bianca, Peso: 59
Id: a24, Group: adulti, Belt: gialla, Peso: 99
Id: a25, Group: adulti, Belt: arancione, Peso: 77
Id: a26, Group: adulti, Belt: nera, Peso: 73
Id: r1, Group: ragazzi, Belt: verde, Peso: 48
Id: r2, Group: ragazzi, Belt: verde, Peso: 63
Id: r3, Group: ragazzi, Belt: gialla, Peso: 44
Id: r4, Group: ragazzi, Belt: marrone, Peso: 47
Id: r5, Group: ragazzi, Belt: gialla, Peso: 59
Id: r6, Group: ragazzi, Belt: gialla, Peso: 69
Id: r7, Group: ragazzi, Belt: blu, Peso: 52
Id: r8, Group: ragazzi, Belt: gialla, Peso: 53
Id: r9, Group: ragazzi, Belt: blu, Peso: 44
Id: r10, Group: ragazzi, Belt: gialla, Peso: 67
Id: r11, Group: ragazzi, Belt: blu, Peso: 47
Id: r12, Group: ragazzi, Belt: gialla, Peso: 42
Id: r13, Group: ragazzi, Belt: nera, Peso: 54
Id: r14, Group: ragazzi, Belt: arancione, Peso: 45
Id: r15, Group: ragazzi, Belt: verde, Peso: 55
Id: r16, Group: ragazzi, Belt: verde, Peso: 52
Id: r17, Group: ragazzi, Belt: bianca, Peso: 48
Id: r18, Group: ragazzi, Belt: verde, Peso: 45
Id: r19, Group: ragazzi, Belt: verde, Peso: 47
Id: r20, Group: ragazzi, Belt: arancione, Peso: 50
Id: r21, Group: ragazzi, Belt: gialla, Peso: 52
Id: r22, Group: ragazzi, Belt: verde, Peso: 63
Id: r23, Group: ragazzi, Belt: arancione, Peso: 48
