Id: a1, Group: adulti, Belt: blu, Peso: 85
Id: a2, Group: adulti, Belt: arancione, Peso: 80
Id: a3, Group: adulti, Belt: marrone, Peso: 81
Id: a4, Group: adulti, Belt: bianca, Peso: 83
Id: a5, Group: adulti, Belt: blu, Peso: 67
Id: a6, Group: adulti, Belt: bianca, Peso: 70
Id: a7, Group: adulti, Belt: verde, Peso: 80
Id: a8, Group: adulti, Belt: gialla, Peso: 94
Id: a9, Group: adulti, Belt: gialla, Peso: 91
Id: a10, Group: adulti, Belt: nera, Peso: 52
Id: a11, Group: adulti, Belt: bianca, Peso: 59
Id: a12, Group: adulti, Belt: gialla, Peso: 74
Id: a13, Group: adulti, Belt: gialla, Peso: 97
Id: a14, Group: adulti, Belt: bianca, Peso: 79
Id: a15, Group: adulti, Belt: verde, Peso: 76
Id: a16, Group: adulti, Belt: marrone, Peso: 53
Id: a17, Group: adulti, Belt: blu, Peso: 81
Id: a18, Group: adulti, Belt: gialla, Peso: 77
Id: a19, Group: adulti, Belt: verde, Peso: 83
Id: a20, Group: adulti, Belt: gialla, Peso: 74
Id: a21, Group: adulti, Belt: arancione, Peso: 91
Id: a22, Group: adulti, Belt: gialla, Peso: 100
Id: a23, Group: adulti, Belt: blu, Peso: 50
Id: a24, Group: adulti, Belt: marrone, Peso: 99
Id: a25, Group: adulti, Belt: marrone, Peso: 93
Id: a26, Group: adulti, Belt: arancione, Peso: 70
Id: r1, Group: ragazzi, Belt: gialla, Peso: 69
Id: r2, Group: ragazzi, Belt: nera, Peso: 60
Id: r3, Group: ragazzi, Belt: arancione, Peso: 47
Id: r4, Group: ragazzi, Belt: arancione, Peso: 52
Id: r5, Group: ragazzi, Belt: bianca, Peso: 58
Id: r6, Group: ragazzi, Belt: arancione, Peso: 51
Id: r7, Group: ragazzi, Belt: blu, Peso: 66
Id: r8, Group: ragazzi, Belt: blu, Peso: 45
Id: r9, Group: ragazzi, Belt: verde, Peso: 66
Id: r10, Group: ragazzi, Belt: marrone, Peso: 61
Id: r11, Group: ragazzi, Belt: blu, Peso: 47
Id: r12, Group: ragazzi, Belt: nera, Peso: 56
Id: r13, Group: ragazzi, Belt: marrone, Peso: 60
Id: r14, Group: ragazzi, Belt: verde, Peso: 42
Id: r15, Group: ragazzi, Belt: arancione, Peso: 67
Id: r16, Group: ragazzi, Belt: nera, Peso: 69
Id: r17, Group: ragazzi, Belt: verde, Peso: 41
Id: r18, Group: ragazzi, Belt: blu, Peso: 70
Id: r19, Group: ragazzi, Belt: arancione, Peso: 43
Id: r20, Group: ragazzi, Belt: blu, Peso: 59
Id: r21, Group: ragazzi, Belt: verde, Peso: 69
Id: r22, Group: ragazzi, Belt: nera, Peso: 64
Id: r23, Group: ragazzi, Belt: nera, Peso: 57
Id: r24, Group: ragazzi, Belt: verde, Peso: 66
Id: r25, Group: ragazzi, Belt: marrone, Peso: 44
Id: r26, Group: ragazzi, Belt: gialla, Peso: 41
Id: r27, Group: ragazzi, Belt: bianca, Peso: 68
Id: r28, Group: ragazzi, Belt: gialla, Peso: 46
Id: r29, Group: ragazzi, Belt: blu, Peso: 46
Id: r30, Group: ragazzi, Belt: blu, Peso: 65
Id: r31, Group: ragazzi, Belt: bianca, Peso: 40
Id: r32, Group: ragazzi, Belt: nera, Peso: 61
Id: r33, Group: ragazzi, Belt: nera, Peso: 46
Id: r34, Group: ragazzi, Belt: arancione, Peso: 47
Id: b1, Group: bambini, Belt: gialla, Peso: 37
Id: b2, Group: bambini, Belt: nera, Peso: 38
Id: b3, Group: bambini, Belt: gialla, Peso: 17
Id: b4, Group: bambini, Belt: blu, Peso: 24
Id: b5, Group: bambini, Belt: nera, Peso: 27
Id: b6, Group: bambini, Belt: bianca, Peso: 40
Id: b7, Group: bambini, Belt: arancione, Peso: 30
Id: b8, Group: bambini, Belt: nera, Peso: 27
Id: b9, Group: bambini, Belt: blu, Peso: 40
Id: b10, Group: bambini, Belt: bianca, Peso: 11
Id: b11, Group: bambini, Belt: nera, Peso: 26
Id: b12, Group: bambini, Belt: gialla, Peso: 14
Id: b13, Group: bambini, Belt: nera, Peso: 27
Id: b14, Group: bambini, Belt: blu, Peso: 12
Id: b15, Group: bambini, Belt: arancione, Peso: 10
Id: b16, Group: bambini, Belt: arancione, Peso: 33
Id: b17, Group: bambini, Belt: verde, Peso: 20
Id: b18, Group: bambini, Belt: nera, Peso: 30
Id: b19, Group: bambini, Belt: arancione, Peso: 14
Id: b20, Group: bambini, Belt: marrone, Peso: 13
Id: b21, Group: bambini, Belt: nera, Peso: 40
Id: b22, Group: bambini, Belt: bianca, Peso: 13
Id: b23, Group: bambini, Belt: verde, Peso: 28
Id: b24, Group: bambini, Belt: blu, Peso: 15
Id: b25, Group: bambini, Belt: gialla, Peso: 24
Id: b26, Group: bambini, Belt: marrone, Peso: 37
Id: b27, Group: bambini, Belt: verde, Peso: 16
Id: b28, Group: bambini, Belt: arancione, Peso: 15
Id: b29, Group: bambini, Belt: blu, Peso: 32
Id: b30, Group: bambini, Belt: verde, Peso: 12
Id: b31, Group: bambini, Belt: marrone, Peso: 11
Id: b32, Group: bambini, Belt: verde, Peso: 21
Id: b33, Group: bambini, Belt: verde, Peso: 19
Id: b34, Group: bambini, Belt: gialla, Peso: 28
Id: b35, Group: bambini, Belt: blu, Peso: 26
Id: b36, Group: bambini, Belt: nera, Peso: 33
Id: b37, Group: bambini, Belt: arancione, Peso: 31
Id: b38, Group: bambini, Belt: arancione, Peso: 22
Id: b39, Group: bambini, Belt: blu, Peso: 33
Id: b40, Group: bambini, Belt: arancione, Peso: 17
