Id: a1, Group: adulti, Belt: blu, Peso: 96
Id: a2, Group: adulti, Belt: nera, Peso: 70
Id: a3, Group: adulti, Belt: arancione, Peso: 60
Id: a4, Group: adulti, Belt: bianca, Peso: 55
Id: a5, Group: adulti, Belt: bianca, Peso: 83
Id: a6, Group: adulti, Belt: marrone, Peso: 86
Id: a7, Group: adulti, Belt: blu, Peso: 83
Id: a8, Group: adulti, Belt: marrone, Peso: 84
Id: a9, Group: adulti, Belt: verde, Peso: 63
Id: a10, Group: adulti, Belt: verde, Peso: 95
Id: a11, Group: adulti, Belt: nera, Peso: 70
Id: a12, Group: adulti, Belt: nera, Peso: 91
Id: a13, Group: adulti, Belt: arancione, Peso: 58
Id: a14, Group: adulti, Belt: verde, Peso: 54
Id: a15, Group: adulti, Belt: verde, Peso: 73
Id: a16, Group: adulti, Belt: verde, Peso: 78
Id: a17, Group: adulti, Belt: bianca, Peso: 55
Id: a18, Group: adulti, Belt: bianca, Peso: 57
Id: a19, Group: adulti, Belt: gialla, Peso: 59
Id: a20, Group: adulti, Belt: bianca, Peso: 64
Id: a21, Group: adulti, Belt: arancione, Peso: 93
Id: a22, Group: adulti, Belt: arancione, Peso: 83
Id: a23, Group: adulti, Belt: bianca, Peso: 65
Id: a24, Group: adulti, Belt: nera, Peso: 60
Id: a25, Group: adulti, Belt: nera, Peso: 62
Id: a26, Group: adulti, Belt: marrone, Peso: 72
Id: r1, Group: ragazzi, Belt: gialla, Peso: 54
Id: r2, Group: ragazzi, Belt: marrone, Peso: 50
Id: r3, Group: ragazzi, Belt: bianca, Peso: 65
Id: r4, Group: ragazzi, Belt: verde, Peso: 47
Id: r5, Group: ragazzi, Belt: bianca, Peso: 66
Id: r6, Group: ragazzi, Belt: nera, Peso: 56
Id: r7, Group: ragazzi, Belt: verde, Peso: 65
Id: r8, Group: ragazzi, Belt: marrone, Peso: 63
Id: r9, Group: ragazzi, Belt: marrone, Peso: 49
Id: r10, Group: ragazzi, Belt: marrone, Peso: 48
Id: r11, Group: ragazzi, Belt: blu, Peso: 62
Id: r12, Group: ragazzi, Belt: arancione, Peso: 68
Id: r13, Group: ragazzi, Belt: blu, Peso: 69
Id: r14, Group: ragazzi, Belt: marrone, Peso: 61
Id: r15, Group: ragazzi, Belt: gialla, Peso: 50
Id: r16, Group: ragazzi, Belt: marrone, Peso: 50
Id: r17, Group: ragazzi, Belt: marrone, Peso: 59
Id: r18, Group: ragazzi, Belt: blu, Peso: 54
Id: r19, Group: ragazzi, Belt: bianca, Peso: 41
Id: r20, Group: ragazzi, Belt: bianca, Peso: 54
Id: r21, Group: ragazzi, Belt: bianca, Peso: 61
Id: r22, Group: ragazzi, Belt: verde, Peso: 67
Id: r23, Group: ragazzi, Belt: gialla, Peso: 67
Id: r24, Group: ragazzi, Belt: bianca, Peso: 54
Id: r25, Group: ragazzi, Belt: bianca, Peso: 54
Id: r26, Group: ragazzi, Belt: marrone, Peso: 56
Id: r27, Group: ragazzi, Belt: verde, Peso: 60
Id: r28, Group: ragazzi, Belt: marrone, Peso: 66
Id: r29, Group: ragazzi, Belt: blu, Peso: 64
Id: r30, Group: ragazzi, Belt: verde, Peso: 55
Id: r31, Group: ragazzi, Belt: blu, Peso: 40
Id: r32, Group: ragazzi, Belt: arancione, Peso: 47
Id: r33, Group: ragazzi, Belt: gialla, Peso: 58
Id: r34, Group: ragazzi, Belt: blu, Peso: 55
Id: b1, Group: bambini, Belt: blu, Peso: 15
Id: b2, Group: bambini, Belt: arancione, Peso: 15
Id: b3, Group: bambini, Belt: verde, Peso: 30
Id: b4, Group: bambini, Belt: gialla, Peso: 40
Id: b5, Group: bambini, Belt: arancione, Peso: 40
Id: b6, Group: bambini, Belt: nera, Peso: 37
Id: b7, Group: bambini, Belt: nera, Peso: 12
Id: b8, Group: bambini, Belt: blu, Peso: 39
Id: b9, Group: bambini, Belt: bianca, Peso: 11
Id: b10, Group: bambini, Belt: verde, Peso: 24
