Id: a1, Group: adulti, Belt: arancione, Peso: 83
Id: a2, Group: adulti, Belt: bianca, Peso: 79
Id: a3, Group: adulti, Belt: verde, Peso: 86
Id: a4, Group: adulti, Belt: arancione, Peso: 82
Id: a5, Group: adulti, Belt: gialla, Peso: 67
Id: a6, Group: adulti, Belt: arancione, Peso: 81
Id: a7, Group: adulti, Belt: nera, Peso: 65
Id: a8, Group: adulti, Belt: bianca, Peso: 83
Id: a9, Group: adulti, Belt: blu, Peso: 100
Id: a10, Group: adulti, Belt: bianca, Peso: 95
Id: a11, Group: adulti, Belt: arancione, Peso: 92
Id: a12, Group: adulti, Belt: marrone, Peso: 80
Id: a13, Group: adulti, Belt: arancione, Peso: 86
Id: a14, Group: adulti, Belt: blu, Peso: 91
Id: a15, Group: adulti, Belt: verde, Peso: 89
Id: a16, Group: adulti, Belt: nera, Peso: 57
Id: a17, Group: adulti, Belt: marrone, Peso: 77
Id: a18, Group: adulti, Belt: blu, Peso: 57
Id: a19, Group: adulti, Belt: blu, Peso: 80
Id: a20, Group: adulti, Belt: nera, Peso: 53
Id: a21, Group: adulti, Belt: blu, Peso: 50
Id: a22, Group: adulti, Belt: bianca, Peso: 66
Id: a23, Group: adulti, Belt: verde, Peso: 81
Id: a24, Group: adulti, Belt: marrone, Peso: 64
Id: a25, Group: adulti, Belt: marrone, Peso: 77
Id: a26, Group: adulti, Belt: verde, Peso: 99
Id: r1, Group: ragazzi, Belt: bianca, Peso: 42
Id: r2, Group: ragazzi, Belt: arancione, Peso: 67
Id: r3, Group: ragazzi, Belt: blu, Peso: 58
Id: r4, Group: ragazzi, Belt: arancione, Peso: 46
Id: r5, Group: ragazzi, Belt: arancione, Peso: 62
Id: r6, Group: ragazzi, Belt: gialla, Peso: 67
Id: r7, Group: ragazzi, Belt: bianca, Peso: 54
Id: r8, Group: ragazzi, Belt: bianca, Peso: 44
Id: r9, Group: ragazzi, Belt: arancione, Peso: 41
Id: r10, Group: ragazzi, Belt: bianca, Peso: 60
Id: r11, Group: ragazzi, Belt: nera, Peso: 56
Id: r12, Group: ragazzi, Belt: gialla, Peso: 48
Id: r13, Group: ragazzi, Belt: marrone, Peso: 65
Id: r14, Group: ragazzi, Belt: marrone, Peso: 66
Id: r15, Group: ragazzi, Belt: gialla, Peso: 40
Id: r16, Group: ragazzi, Belt: gialla, Peso: 70
Id: r17, Group: ragazzi, Belt: blu, Peso: 45
Id: r18, Group: ragazzi, Belt: marrone, Peso: 52
Id: r19, Group: ragazzi, Belt: nera, Peso: 63
Id: r20, Group: ragazzi, Belt: gialla, Peso: 54
Id: r21, Group: ragazzi, Belt: blu, Peso: 51
Id: r22, Group: ragazzi, Belt: gialla, Peso: 57
