Id: a1, Group: adulti, Belt: arancione, Peso: 65
Id: a2, Group: adulti, Belt: marrone, Peso: 96
Id: a3, Group: adulti, Belt: arancione, Peso: 54
Id: a4, Group: adulti, Belt: nera, Peso: 65
Id: a5, Group: adulti, Belt: marrone, Peso: 98
Id: a6, Group: adulti, Belt: gialla, Peso: 60
Id: a7, Group: adulti, Belt: marrone, Peso: 70
Id: a8, Group: adulti, Belt: blu, Peso: 78
Id: a9, Group: adulti, Belt: verde, Peso: 64
Id: a10, Group: adulti, Belt: verde, Peso: 96
Id: a11, Group: adulti, Belt: marrone, Peso: 83
Id: a12, Group: adulti, Belt: verde, Peso: 94
Id: a13, Group: adulti, Belt: gialla, Peso: 78
Id: a14, Group: adulti, Belt: nera, Peso: 52
Id: a15, Group: adulti, Belt: gialla, Peso: 87
Id: a16, Group: adulti, Belt: bianca, Peso: 51
Id: a17, Group: adulti, Belt: gialla, Peso: 87
Id: a18, Group: adulti, Belt: blu, Peso: 82
Id: a19, Group: adulti, Belt: verde, Peso: 55
Id: a20, Group: adulti, Belt: bianca, Peso: 61
Id: a21, Group: adulti, Belt: bianca, Peso: 57
Id: a22, Group: adulti, Belt: arancione, Peso: 52
Id: a23, Group: adulti, Belt: arancione, Peso: 59
Id: a24, Group: adulti, Belt: bianca, Peso: 89
Id: a25, Group: adulti, Belt: blu, Peso: 89
Id: a26, Group: adulti, Belt: verde, Peso: 80
Id: r1, Group: ragazzi, Belt: nera, Peso: 59
Id: r2, Group: ragazzi, Belt: marrone, Peso: 43
Id: r3, Group: ragazzi, Belt: gialla, Peso: 54
Id: r4, Group: ragazzi, Belt: bianca, Peso: 61
Id: r5, Group: ragazzi, Belt: arancione, Peso: 51
Id: r6, Group: ragazzi, Belt: arancione, Peso: 46
Id: r7, Group: ragazzi, Belt: arancione, Peso: 41
Id: r8, Group: ragazzi, Belt: verde, Peso: 48
Id: r9, Group: ragazzi, Belt: verde, Peso: 41
Id: r10, Group: ragazzi, Belt: blu, Peso: 55
Id: r11, Group: ragazzi, Belt: arancione, Peso: 42
Id: r12, Group: ragazzi, Belt: blu, Peso: 66
Id: r13, Group: ragazzi, Belt: gialla, Peso: 60
Id: r14, Group: ragazzi, Belt: nera, Peso: 49
Id: r15, Group: ragazzi, Belt: arancione, Peso: 68
Id: r16, Group: ragazzi, Belt: marrone, Peso: 59
Id: r17, Group: ragazzi, Belt: arancione, Peso: 61
Id: r18, Group: ragazzi, Belt: arancione, Peso: 48
Id: r19, Group: ragazzi, Belt: bianca, Peso: 65
Id: r20, Group: ragazzi, Belt: verde, Peso: 42
Id: r21, Group: ragazzi, Belt: marrone, Peso: 48
Id: r22, Group: ragazzi, Belt: marrone, Peso: 42
Id: r23, Group: ragazzi, Belt: blu, Peso: 51
Id: r24, Group: ragazzi, Belt: gialla, Peso: 58
Id: r25, Group: ragazzi, Belt: blu, Peso: 53
Id: r26, Group: ragazzi, Belt: arancione, Peso: 69
