Id: a1, Group: adulti, Belt: blu, Peso: 62
Id: a2, Group: adulti, Belt: nera, Peso: 92
Id: a3, Group: adulti, Belt: gialla, Peso: 75
Id: a4, Group: adulti, Belt: bianca, Peso: 81
Id: a5, Group: adulti, Belt: gialla, Peso: 62
Id: a6, Group: adulti, Belt: arancione, Peso: 82
Id: a7, Group: adulti, Belt: marrone, Peso: 82
Id: a8, Group: adulti, Belt: marrone, Peso: 75
Id: a9, Group: adulti, Belt: blu, Peso: 62
Id: a10, Group: adulti, Belt: marrone, Peso: 89
Id: a11, Group: adulti, Belt: arancione, Peso: 67
Id: a12, Group: adulti, Belt: nera, Peso: 89
Id: a13, Group: adulti, Belt: arancione, Peso: 66
Id: a14, Group: adulti, Belt: blu, Peso: 79
Id: a15, Group: adulti, Belt: nera, Peso: 78
Id: a16, Group: adulti, Belt: blu, Peso: 64
Id: a17, Group: adulti, Belt: marrone, Peso: 77
Id: a18, Group: adulti, Belt: marrone, Peso: 58
Id: a19, Group: adulti, Belt: verde, Peso: 57
Id: a20, Group: adulti, Belt: bianca, Peso: 85
Id: a21, Group: adulti, Belt: blu, Peso: 60
Id: a22, Group: adulti, Belt: bianca, Peso: 93
Id: a23, Group: adulti, Belt: nera, Peso: 78
Id: a24, Group: adulti, Belt: gialla, Peso: 97
Id: a25, Group: adulti, Belt: blu, Peso: 61
Id: a26, Group: adulti, Belt: bianca, Peso: 61
Id: r1, Group: ragazzi, Belt: arancione, Peso: 67
Id: r2, Group: ragazzi, Belt: bianca, Peso: 44
Id: r3, Group: ragazzi, Belt: arancione, Peso: 56
Id: r4, Group: ragazzi, Belt: bianca, Peso: 49
Id: r5, Group: ragazzi, Belt: nera, Peso: 45
Id: r6, Group: ragazzi, Belt: blu, Peso: 52
Id: r7, Group: ragazzi, Belt: nera, Peso: 41
Id: r8, Group: ragazzi, Belt: marrone, Peso: 60
Id: r9, Group: ragazzi, Belt: blu, Peso: 59
Id: r10, Group: ragazzi, Belt: arancione, Peso: 42
Id: r11, Group: ragazzi, Belt: bianca, Peso: 57
Id: r12, Group: ragazzi, Belt: arancione, Peso: 45
Id: r13, Group: ragazzi, Belt: marrone, Peso: 53
Id: r14, Group: ragazzi, Belt: blu, Peso: 70
Id: r15, Group: ragazzi, Belt: verde, Peso: 65
Id: r16, Group: ragazzi, Belt: verde, Peso: 60
Id: r17, Group: ragazzi, Belt: nera, Peso: 58
Id: r18, Group: ragazzi, Belt: blu, Peso: 58
Id: r19, Group: ragazzi, Belt: blu, Peso: 52
Id: r20, Group: ragazzi, Belt: gialla, Peso: 60
Id: r21, Group: ragazzi, Belt: nera, Peso: 48
Id: r22, Group: ragazzi, Belt: marrone, Peso: 47
Id: r23, Group: ragazzi, Belt: marrone, Peso: 44
Id: r24, Group: ragazzi, Belt: marrone, Peso: 50
Id: r25, Group: ragazzi, Belt: marrone, Peso: 59
Id: r26, Group: ragazzi, Belt: bianca, Peso: 50
Id: r27, Group: ragazzi, Belt: bianca, Peso: 68
Id: r28, Group: ragazzi, Belt: gialla, Peso: 56
Id: r29, Group: ragazzi, Belt: arancione, Peso: 56
Id: r30, Group: ragazzi, Belt: verde, Peso: 44
Id: r31, Group: ragazzi, Belt: nera, Peso: 43
Id: r32, Group: ragazzi, Belt: gialla, Peso: 48
Id: r33, Group: ragazzi, Belt: gialla, Peso: 68
Id: r34, Group: ragazzi, Belt: nera, Peso: 59
Id: b1, Group: bambini, Belt: verde, Peso: 11
Id: b2, Group: bambini, Belt: marrone, Peso: 14
Id: b3, Group: bambini, Belt: gialla, Peso: 32
Id: b4, Group: bambini, Belt: arancione, Peso: 11
Id: b5, Group: bambini, Belt: bianca, Peso: 13
Id: b6, Group: bambini, Belt: nera, Peso: 32
Id: b7, Group: bambini, Belt: arancione, Peso: 35
Id: b8, Group: bambini, Belt: marrone, Peso: 11
Id: b9, Group: bambini, Belt: verde, Peso: 30
Id: b10, Group: bambini, Belt: nera, Peso: 31
Id: b11, Group: bambini, Belt: verde, Peso: 31
Id: b12, Group: bambini, Belt: blu, Peso: 26
Id: b13, Group: bambini, Belt: bianca, Peso: 20
