Id: a1, Group: adulti, Belt: nera, Peso: 80
Id: a2, Group: adulti, Belt: verde, Peso: 97
Id: a3, Group: adulti, Belt: marrone, Peso: 70
Id: a4, Group: adulti, Belt: marrone, Peso: 97
Id: a5, Group: adulti, Belt: nera, Peso: 92
Id: a6, Group: adulti, Belt: gialla, Peso: 71
Id: a7, Group: adulti, Belt: verde, Peso: 89
Id: a8, Group: adulti, Belt: gialla, Peso: 83
Id: a9, Group: adulti, Belt: bianca, Peso: 72
Id: a10, Group: adulti, Belt: verde, Peso: 72
Id: a11, Group: adulti, Belt: nera, Peso: 50
Id: a12, Group: adulti, Belt: nera, Peso: 64
Id: a13, Group: adulti, Belt: blu, Peso: 73
Id: a14, Group: adulti, Belt: gialla, Peso: 81
Id: a15, Group: adulti, Belt: marrone, Peso: 55
Id: a16, Group: adulti, Belt: verde, Peso: 79
Id: a17, Group: adulti, Belt: bianca, Peso: 82
Id: a18, Group: adulti, Belt: marrone, Peso: 60
Id: a19, Group: adulti, Belt: arancione, Peso: 97
Id: a20, Group: adulti, Belt: nera, Peso: 59
Id: a21, Group: adulti, Belt: marrone, Peso: 97
Id: a22, Group: adulti, Belt: bianca, Peso: 93
Id: a23, Group: adulti, Belt: gialla, Peso: 66
Id: a24, Group: adulti, Belt: verde, Peso: 93
Id: a25, Group: adulti, Belt: arancione, Peso: 58
Id: a26, Group: adulti, Belt: verde, Peso: 52
Id: r1, Group: ragazzi, Belt: marrone, Peso: 66
Id: r2, Group: ragazzi, Belt: marrone, Peso: 40
Id: r3, Group: ragazzi, Belt: nera, Peso: 70
Id: r4, Group: ragazzi, Belt: verde, Peso: 69
Id: r5, Group: ragazzi, Belt: nera, Peso: 54
Id: r6, Group: ragazzi, Belt: verde, Peso: 49
Id: r7, Group: ragazzi, Belt: gialla, Peso: 68
Id: r8, Group: ragazzi, Belt: gialla, Peso: 53
Id: r9, Group: ragazzi, Belt: verde, Peso: 54
